code,name
ACTION,Action
ADVENTURE,Adventure
ANIMATION,Animation
COMEDY,Comedy
CRIME,Crime
DOCUMENTARY,Documentary
DRAMA,Drama
FAMILY,Family
FANTASY,Fantasy
HORROR,Horror
MUSICAL,Musical
MYSTERY,Mystery
ROMANCE,Romance
SCI_FI,Science Fiction
THRILLER,Thriller
WAR,War
